# node	type	degree
B1713	buyer	3
B1716	buyer	2
B172	buyer	2
B1721	buyer	3
B1722	buyer	3
B1723	buyer	4
B1727	buyer	3
B1728	buyer	4
B1729	buyer	2
B1730	buyer	1
B1731	buyer	7
B1734	buyer	6
B1743	buyer	3
B1759	buyer	2
B1761	buyer	17
B1763	buyer	15
B1768	buyer	1
B177	buyer	7
B178	buyer	1
B1783	buyer	6
B1787	buyer	4
B1790	buyer	11
B1793	buyer	6
B1794	buyer	5
B180	buyer	2
B1800	buyer	1
B1801	buyer	4
B1804	buyer	3
B1806	buyer	1
B1809	buyer	10
B181	buyer	3
B1810	buyer	1
B1812	buyer	2
B1813	buyer	4
B1815	buyer	13
B1816	buyer	9
B182	buyer	1
B1824	buyer	1
B1825	buyer	7
B1827	buyer	3
B1828	buyer	6
B1829	buyer	5
B1830	buyer	4
B1832	buyer	2
B1833	buyer	1
B1834	buyer	7
B1835	buyer	7
B1838	buyer	1
B184	buyer	6
B1842	buyer	1
B1845	buyer	8
B1848	buyer	6
B1854	buyer	2
B1855	buyer	2
B1859	buyer	13
B187	buyer	4
B1871	buyer	17
B1872	buyer	2
B1874	buyer	2
B1876	buyer	1
B1877	buyer	1
B1880	buyer	3
B1886	buyer	5
B19	buyer	7
B1903	buyer	2
B1910	buyer	1
B1911	buyer	1
B1928	buyer	12
B193	buyer	3
B1931	buyer	2
B1934	buyer	4
B1937	buyer	3
B1944	buyer	15
B1946	buyer	5
B195	buyer	1
B1952	buyer	2
B1956	buyer	6
B1957	buyer	4
B1959	buyer	3
B1960	buyer	29
B1967	buyer	1
B197	buyer	1
B1970	buyer	2
B1972	buyer	11
B1973	buyer	2
B1982	buyer	5
B1990	buyer	2
B200	buyer	3
B2008	buyer	4
B2016	buyer	22
B2018	buyer	2
B2020	buyer	3
B2027	buyer	15
B2031	buyer	2
B2032	buyer	3
B2033	buyer	7
B2034	buyer	6
B2036	buyer	4
B2037	buyer	7
B2048	buyer	2
B2051	buyer	6
B2052	buyer	3
B2055	buyer	2
B2058	buyer	13
B2059	buyer	3
B2061	buyer	4
B2064	buyer	2
B2067	buyer	5
B2075	buyer	6
B2079	buyer	3
B208	buyer	2
B2081	buyer	26
B2083	buyer	4
B2086	buyer	4
B2089	buyer	7
B2090	buyer	3
B2094	buyer	2
B2097	buyer	3
B2099	buyer	2
B210	buyer	4
B2100	buyer	3
B2103	buyer	4
B2106	buyer	1
B2114	buyer	4
B2115	buyer	2
B2117	buyer	1
B2119	buyer	5
B2120	buyer	2
B2121	buyer	5
B2130	buyer	14
B2131	buyer	1
B2132	buyer	2
B2133	buyer	4
B2135	buyer	1
B2138	buyer	2
B2141	buyer	3
B2150	buyer	8
B2155	buyer	3
B2163	buyer	1
B2165	buyer	2
B2170	buyer	3
B2172	buyer	7
B2176	buyer	23
B2181	buyer	3
B2184	buyer	3
B2185	buyer	3
B2187	buyer	2
B2188	buyer	2
B2192	buyer	1
B2194	buyer	2
B2195	buyer	14
B22	buyer	4
B220	buyer	9
B2201	buyer	1
B2203	buyer	14
B2207	buyer	4
B2208	buyer	2
B2209	buyer	2
B2211	buyer	2
B2220	buyer	2
B2228	buyer	4
B223	buyer	4
B2237	buyer	3
B2242	buyer	1
B2245	buyer	4
B2248	buyer	2
B225	buyer	6
B2250	buyer	2
B2257	buyer	3
B226	buyer	8
B2260	buyer	1
B2261	buyer	5
B2262	buyer	5
B2263	buyer	5
B2264	buyer	1
B2268	buyer	2
B2270	buyer	1
B2271	buyer	1
B2279	buyer	7
B228	buyer	4
B2283	buyer	27
B2288	buyer	2
B2289	buyer	1
B229	buyer	7
B2291	buyer	3
B2294	buyer	2
B2297	buyer	1
B2299	buyer	2
B2302	buyer	3
B2307	buyer	14
B2308	buyer	4
B2309	buyer	4
B231	buyer	6
B2314	buyer	4
B2315	buyer	6
B2316	buyer	2
B2318	buyer	20
B2319	buyer	1
B2320	buyer	8
B2321	buyer	4
B2322	buyer	2
B2323	buyer	18
B2325	buyer	3
B233	buyer	7
B2332	buyer	8
B2335	buyer	3
B2336	buyer	1
B2338	buyer	4
B234	buyer	2
B2340	buyer	1
B2342	buyer	4
B2349	buyer	1
B235	buyer	9
B2352	buyer	20
B2356	buyer	4
B2360	buyer	3
B2363	buyer	2
B2367	buyer	1
B2371	buyer	3
B2373	buyer	2
B2374	buyer	3
B2377	buyer	1
B2380	buyer	2
B2381	buyer	8
B2384	buyer	2
B2385	buyer	2
B2388	buyer	5
B239	buyer	2
B2393	buyer	1
B2394	buyer	16
B2398	buyer	5
B2402	buyer	7
B2403	buyer	4
B2409	buyer	2
B2410	buyer	11
B2414	buyer	4
B2415	buyer	7
B2421	buyer	6
B2422	buyer	2
B2426	buyer	2
B2427	buyer	1
B2428	buyer	6
B2429	buyer	4
B2430	buyer	4
B2434	buyer	7
B244	buyer	41
B2441	buyer	4
B2445	buyer	1
B2447	buyer	3
B2450	buyer	13
B2457	buyer	3
B2458	buyer	1
B2463	buyer	2
B2466	buyer	2
B247	buyer	6
B2470	buyer	2
B2473	buyer	4
B2476	buyer	2
B2477	buyer	2
B2478	buyer	3
B2479	buyer	3
B2482	buyer	2
B2484	buyer	6
B2488	buyer	3
B2489	buyer	1
B249	buyer	3
B2496	buyer	1
B2497	buyer	7
B2498	buyer	3
B2500	buyer	5
B2502	buyer	1
B2508	buyer	1
B2516	buyer	6
B2517	buyer	2
B2518	buyer	2
B2520	buyer	1
B2521	buyer	6
B2522	buyer	3
B2527	buyer	1
B2535	buyer	2
B2540	buyer	2
B2544	buyer	3
B2545	buyer	2
B2547	buyer	1
B2550	buyer	1
B2555	buyer	2
B2560	buyer	4
B2561	buyer	9
B2565	buyer	9
B2566	buyer	4
B2567	buyer	1
B257	buyer	3
B2570	buyer	2
B2572	buyer	4
B2573	buyer	2
B2574	buyer	8
B2575	buyer	5
B2579	buyer	3
B2581	buyer	2
B2588	buyer	6
B2589	buyer	2
B259	buyer	3
B2592	buyer	9
B2593	buyer	2
B2597	buyer	21
B2600	buyer	2
B2601	buyer	1
B2607	buyer	11
B2610	buyer	3
B2612	buyer	2
B2614	buyer	7
B2616	buyer	2
B2625	buyer	1
B2632	buyer	1
B2642	buyer	5
B2649	buyer	2
B265	buyer	1
B2651	buyer	2
B2652	buyer	6
B2653	buyer	3
B2659	buyer	10
B2660	buyer	2
B2662	buyer	7
B2665	buyer	4
B2667	buyer	2
B2669	buyer	2
B2670	buyer	6
B2673	buyer	2
B2675	buyer	3
B268	buyer	4
B2682	buyer	5
B2684	buyer	2
B2688	buyer	1
B269	buyer	5
B2697	buyer	3
B2698	buyer	5
B2701	buyer	6
B2702	buyer	2
B2703	buyer	8
B2707	buyer	2
B2708	buyer	2
B2709	buyer	15
B2718	buyer	2
B2719	buyer	3
B2720	buyer	1
B2732	buyer	3
B2735	buyer	1
B2739	buyer	4
B2744	buyer	1
B2745	buyer	12
B2755	buyer	1
B2760	buyer	4
B2761	buyer	2
B2764	buyer	3
B2766	buyer	6
B2767	buyer	8
B2768	buyer	5
B2770	buyer	2
B2772	buyer	13
B2773	buyer	15
B2774	buyer	1
B278	buyer	2
B2784	buyer	2
B2786	buyer	3
B279	buyer	5
B2790	buyer	2
B2791	buyer	3
B2793	buyer	1
B28	buyer	2
B2800	buyer	2
B2801	buyer	2
B2806	buyer	1
B2807	buyer	11
B2809	buyer	4
B2813	buyer	6
B2814	buyer	20
B2816	buyer	8
B2817	buyer	1
B2819	buyer	7
B2820	buyer	2
B2821	buyer	18
B2822	buyer	12
B2824	buyer	20
B2831	buyer	3
B2832	buyer	2
B2836	buyer	3
B2838	buyer	2
B2840	buyer	1
B2843	buyer	1
B2847	buyer	2
B2848	buyer	1
B2849	buyer	1
B2850	buyer	1
B2857	buyer	6
B2858	buyer	5
B2861	buyer	1
B2862	buyer	2
B2864	buyer	12
B2866	buyer	3
B2867	buyer	3
B2870	buyer	8
B2873	buyer	62
B2880	buyer	4
B2884	buyer	2
B2885	buyer	32
B2887	buyer	3
B2888	buyer	1
B2889	buyer	2
B2893	buyer	4
B2895	buyer	3
B2897	buyer	1
B290	buyer	1
B2901	buyer	3
B2903	buyer	14
B291	buyer	3
B2910	buyer	5
B2912	buyer	7
B2916	buyer	3
B2920	buyer	5
B2922	buyer	7
B2923	buyer	4
B2932	buyer	1
B2934	buyer	10
B2939	buyer	2
B294	buyer	5
B2943	buyer	2
B2947	buyer	2
B2949	buyer	3
B2953	buyer	2
B2955	buyer	7
B2957	buyer	4
B2958	buyer	1
B2959	buyer	10
B2965	buyer	2
B2968	buyer	1
B2970	buyer	1
B2974	buyer	6
B2975	buyer	3
B2976	buyer	3
B2978	buyer	1
B2981	buyer	3
B2983	buyer	10
B2985	buyer	2
B2989	buyer	1
B2995	buyer	2
B3000	buyer	7
B3002	buyer	2
B3006	buyer	3
B3008	buyer	1
B3009	buyer	5
B3010	buyer	1
B3013	buyer	5
B3017	buyer	6
B3019	buyer	1
B3020	buyer	3
B3021	buyer	1
B3024	buyer	4
B3026	buyer	7
B3027	buyer	2
B3028	buyer	5
B3033	buyer	6
B3034	buyer	1
B3036	buyer	2
B3038	buyer	3
B3040	buyer	1
B3041	buyer	3
B3044	buyer	3
B3045	buyer	2
B3049	buyer	1
B305	buyer	6
B3050	buyer	4
B3051	buyer	3
B3056	buyer	19
B3057	buyer	2
B3058	buyer	1
B3059	buyer	3
B3063	buyer	6
B3065	buyer	1
B3067	buyer	3
B3070	buyer	1
B3084	buyer	1
B3085	buyer	2
B3086	buyer	8
B3087	buyer	4
B3096	buyer	6
B3097	buyer	5
B310	buyer	2
B3104	buyer	3
B3105	buyer	8
B3108	buyer	1
B3109	buyer	2
B311	buyer	14
B3110	buyer	13
B3113	buyer	1
B3116	buyer	1
B3120	buyer	8
B3125	buyer	6
B3126	buyer	1
B3134	buyer	1
B3135	buyer	4
B3136	buyer	3
B3137	buyer	1
B314	buyer	2
B3140	buyer	5
B3141	buyer	8
B3143	buyer	12
B3144	buyer	4
B315	buyer	13
B3153	buyer	2
B3154	buyer	3
B3156	buyer	9
B3159	buyer	2
B3160	buyer	2
B3163	buyer	1
B3164	buyer	2
B3173	buyer	3
B3174	buyer	1
B3175	buyer	2
B318	buyer	2
B3182	buyer	2
B3184	buyer	7
B3185	buyer	1
B3186	buyer	17
B3190	buyer	1
B3191	buyer	2
B3198	buyer	12
B3200	buyer	1
B3204	buyer	5
B3206	buyer	4
B3208	buyer	1
B3209	buyer	14
B3211	buyer	4
B3213	buyer	5
B3215	buyer	3
B3218	buyer	3
B322	buyer	9
B3221	buyer	4
B3222	buyer	5
B3228	buyer	1
B3232	buyer	5
B3234	buyer	2
B3239	buyer	2
B3240	buyer	2
B3241	buyer	1
B3244	buyer	5
B325	buyer	3
B3251	buyer	2
B3252	buyer	26
B3253	buyer	7
B3254	buyer	2
B3257	buyer	3
B3260	buyer	1
B3264	buyer	1
B3265	buyer	3
B3269	buyer	1
B327	buyer	1
B3270	buyer	6
B3271	buyer	3
B3274	buyer	5
B3280	buyer	5
B3281	buyer	2
B3282	buyer	2
B3284	buyer	1
B3285	buyer	7
B3286	buyer	3
B3288	buyer	3
B3294	buyer	3
B3295	buyer	1
B3296	buyer	3
B3297	buyer	2
B3298	buyer	2
B3303	buyer	16
B3304	buyer	1
B3306	buyer	3
B3307	buyer	5
B3308	buyer	1
B3311	buyer	7
B3313	buyer	4
B3314	buyer	2
B3315	buyer	2
B3316	buyer	3
B3318	buyer	2
B3319	buyer	2
B332	buyer	9
B3322	buyer	3
B3323	buyer	4
B3324	buyer	11
B3328	buyer	3
B3329	buyer	2
B3330	buyer	1
B3333	buyer	2
B3336	buyer	2
B3337	buyer	1
B3339	buyer	1
B3340	buyer	22
B3342	buyer	1
B3345	buyer	2
B3347	buyer	1
B3348	buyer	35
B3349	buyer	2
B3354	buyer	4
B3362	buyer	7
B3363	buyer	3
B3365	buyer	2
B3366	buyer	2
B3368	buyer	2
B3369	buyer	10
B3370	buyer	3
B3375	buyer	1
B3376	buyer	2
B3377	buyer	1
B3378	buyer	5
B3379	buyer	1
B3381	buyer	7
B3382	buyer	6
B3383	buyer	2
B3385	buyer	3
B3388	buyer	12
B3390	buyer	4
B3396	buyer	1
B34	buyer	2
B3400	buyer	9
B3402	buyer	7
B3403	buyer	3
B3404	buyer	1
B3406	buyer	1
B3407	buyer	5
B3409	buyer	1
B341	buyer	1
B3410	buyer	5
B3413	buyer	7
B3414	buyer	1
B3415	buyer	18
B3416	buyer	3
B3417	buyer	2
B3422	buyer	1
B3423	buyer	19
B3430	buyer	9
B3431	buyer	5
B3436	buyer	2
B3439	buyer	4
B344	buyer	2
B3441	buyer	3
B3443	buyer	11
B3445	buyer	3
B3453	buyer	7
B3454	buyer	6
B3455	buyer	2
B3456	buyer	3
B3457	buyer	2
B3458	buyer	3
B3460	buyer	3
B3462	buyer	2
B3466	buyer	6
B347	buyer	4
B3471	buyer	1
B3473	buyer	2
B3474	buyer	5
B3476	buyer	4
B3479	buyer	1
B3482	buyer	2
B3484	buyer	1
B3488	buyer	6
B3491	buyer	3
B3494	buyer	4
B3496	buyer	1
B3498	buyer	1
B3499	buyer	5
B3501	buyer	1
B3503	buyer	3
B3506	buyer	4
B3507	buyer	5
B3508	buyer	4
B3512	buyer	2
B3513	buyer	5
B3518	buyer	3
B3526	buyer	5
B3527	buyer	1
B3532	buyer	4
B3534	buyer	1
B3539	buyer	9
B3540	buyer	9
B3547	buyer	1
B3548	buyer	1
B3550	buyer	2
B3551	buyer	7
B3558	buyer	4
B3562	buyer	2
B3566	buyer	3
B3574	buyer	2
B3575	buyer	1
B3578	buyer	10
B358	buyer	2
B3580	buyer	1
B3588	buyer	4
B3589	buyer	2
B3590	buyer	4
B3593	buyer	9
B3595	buyer	3
B3599	buyer	1
B3600	buyer	3
B3603	buyer	6
B3607	buyer	3
B3609	buyer	2
B3610	buyer	15
B3616	buyer	1
B3618	buyer	1
B3621	buyer	3
B3630	buyer	3
B3633	buyer	11
B3638	buyer	7
B3640	buyer	2
B3641	buyer	7
B3643	buyer	3
B3646	buyer	2
B3653	buyer	2
B3654	buyer	6
B3656	buyer	4
B366	buyer	2
B3662	buyer	1
B3663	buyer	5
B3665	buyer	2
B3667	buyer	3
B3668	buyer	1
B3670	buyer	1
B3671	buyer	1
B3673	buyer	2
B3675	buyer	3
B3676	buyer	4
B3677	buyer	6
B368	buyer	4
B3681	buyer	5
B3682	buyer	20
B3686	buyer	14
B3689	buyer	5
B3690	buyer	12
B3693	buyer	17
B3694	buyer	3
B3698	buyer	1
B370	buyer	3
B3701	buyer	6
B3703	buyer	1
B3705	buyer	2
B3709	buyer	3
B3711	buyer	1
B3713	buyer	8
B3714	buyer	1
B3718	buyer	1
B3719	buyer	11
B3721	buyer	2
B3728	buyer	1
B3729	buyer	6
B3736	buyer	4
B3737	buyer	1
B3745	buyer	3
B3746	buyer	1
B3747	buyer	2
B3749	buyer	6
B375	buyer	19
B3750	buyer	3
B3753	buyer	2
B3755	buyer	5
B3758	buyer	2
B3759	buyer	5
B376	buyer	23
B3761	buyer	5
B3764	buyer	13
B3766	buyer	2
B3767	buyer	2
B3772	buyer	3
B3773	buyer	1
B3775	buyer	3
B3776	buyer	1
B3782	buyer	5
B3786	buyer	1
B3788	buyer	1
B3790	buyer	2
B3791	buyer	7
B3796	buyer	2
B3798	buyer	1
B3804	buyer	6
B3807	buyer	4
B3808	buyer	3
B3810	buyer	2
B3811	buyer	2
B3813	buyer	2
B3817	buyer	1
B3820	buyer	4
B3821	buyer	2
B3822	buyer	6
B3823	buyer	1
B3824	buyer	21
B3826	buyer	7
B3827	buyer	2
B3829	buyer	4
B3838	buyer	3
B3842	buyer	3
B3843	buyer	4
B3844	buyer	1
B3845	buyer	1
B3847	buyer	4
B3848	buyer	6
B385	buyer	1
B3851	buyer	1
B3853	buyer	1
B3854	buyer	8
B3855	buyer	5
B3856	buyer	3
B3857	buyer	3
B3858	buyer	2
B3859	buyer	2
B3860	buyer	5
B3861	buyer	3
B3862	buyer	6
B3863	buyer	2
B3864	buyer	3
B3865	buyer	17
B3866	buyer	2
B3870	buyer	3
B3872	buyer	14
B3873	buyer	2
B3874	buyer	4
B3875	buyer	2
B3876	buyer	3
B3877	buyer	3
B3878	buyer	2
B3879	buyer	4
B3880	buyer	1
B3881	buyer	2
B3882	buyer	3
B3883	buyer	1
B3884	buyer	4
B3885	buyer	1
B3886	buyer	2
B3887	buyer	5
B3888	buyer	1
B3889	buyer	2
B389	buyer	3
B3890	buyer	16
B3891	buyer	2
B3892	buyer	64
B3893	buyer	5
B3894	buyer	2
B3895	buyer	1
B3896	buyer	1
B3897	buyer	4
B3898	buyer	1
B3899	buyer	2
B3900	buyer	5
B3901	buyer	1
B3902	buyer	2
B3903	buyer	2
B3905	buyer	4
B3906	buyer	1
B3907	buyer	1
B3908	buyer	3
B3909	buyer	5
B391	buyer	1
B3910	buyer	2
B3911	buyer	6
B3913	buyer	4
B3914	buyer	1
B3915	buyer	2
B3916	buyer	2
B3917	buyer	3
B3918	buyer	4
B3919	buyer	1
B3920	buyer	1
B3921	buyer	1
B3922	buyer	1
B3923	buyer	2
B3924	buyer	2
B3925	buyer	3
B3926	buyer	4
B3927	buyer	1
B3928	buyer	8
B3929	buyer	1
B3930	buyer	2
B3931	buyer	19
B3932	buyer	8
B3933	buyer	5
B3934	buyer	13
B3935	buyer	7
B3936	buyer	18
B3937	buyer	2
B3938	buyer	1
B3939	buyer	6
B3940	buyer	2
B3941	buyer	1
B3942	buyer	1
B3943	buyer	2
B3944	buyer	8
B3945	buyer	1
B3946	buyer	1
B3947	buyer	6
B3948	buyer	4
B3949	buyer	2
B3950	buyer	1
B3951	buyer	2
B3952	buyer	1
B3953	buyer	1
B3954	buyer	1
B3955	buyer	5
B3956	buyer	2
B3957	buyer	1
B3958	buyer	1
B3959	buyer	4
B396	buyer	1
B3960	buyer	5
B3961	buyer	1
B3962	buyer	1
B3963	buyer	1
B3964	buyer	3
B3965	buyer	2
B3966	buyer	1
B3967	buyer	4
B3968	buyer	1
B3969	buyer	1
B3970	buyer	2
B3971	buyer	3
B3972	buyer	7
B3973	buyer	1
B3974	buyer	2
B3975	buyer	2
B3976	buyer	2
B3977	buyer	3
B3978	buyer	4
B3979	buyer	2
B398	buyer	1
B3980	buyer	2
B3981	buyer	1
B3982	buyer	1
B3983	buyer	2
B3984	buyer	1
B3985	buyer	1
B3986	buyer	3
B3987	buyer	1
B3988	buyer	6
B3989	buyer	11
B3990	buyer	2
B3991	buyer	2
B3992	buyer	4
B3993	buyer	1
B3994	buyer	5
B3995	buyer	2
B3996	buyer	1
B3997	buyer	10
B3998	buyer	2
B3999	buyer	1
B40	buyer	6
B400	buyer	12
B4000	buyer	5
B4001	buyer	1
B4002	buyer	5
B4003	buyer	1
B4004	buyer	1
B4005	buyer	3
B4006	buyer	1
B4007	buyer	2
B4008	buyer	1
B4009	buyer	2
B401	buyer	7
B4010	buyer	3
B4011	buyer	4
B4012	buyer	28
B4013	buyer	2
B4014	buyer	3
B4015	buyer	1
B4016	buyer	2
B4018	buyer	3
B4020	buyer	2
B4021	buyer	1
B4022	buyer	2
B4023	buyer	1
B4024	buyer	4
B4025	buyer	1
B4026	buyer	4
B4027	buyer	3
B4029	buyer	1
B403	buyer	5
B4030	buyer	2
B4032	buyer	3
B4033	buyer	2
B4035	buyer	6
B4036	buyer	1
B4037	buyer	2
B4038	buyer	2
B4039	buyer	4
B404	buyer	3
B4040	buyer	1
B4042	buyer	3
B4043	buyer	1
B4044	buyer	12
B4045	buyer	1
B4046	buyer	2
B4047	buyer	4
B4048	buyer	4
B4049	buyer	1
B4050	buyer	5
B4051	buyer	2
B4052	buyer	2
B4053	buyer	1
B4055	buyer	2
B4056	buyer	5
B4057	buyer	2
B4058	buyer	8
B4059	buyer	1
B4060	buyer	1
B4061	buyer	1
B4062	buyer	8
B4063	buyer	18
B4064	buyer	1
B4065	buyer	2
B4066	buyer	1
B4067	buyer	2
B4068	buyer	5
B4069	buyer	5
B4070	buyer	1
B4071	buyer	2
B4072	buyer	2
B4073	buyer	5
B4074	buyer	2
B4075	buyer	3
B4076	buyer	5
B4077	buyer	1
B4078	buyer	2
B4079	buyer	2
B4080	buyer	1
B4081	buyer	1
B4082	buyer	1
B4083	buyer	3
B4084	buyer	1
B4085	buyer	1
B4086	buyer	5
B4087	buyer	2
B4088	buyer	2
B4089	buyer	1
B4090	buyer	1
B4091	buyer	2
B4092	buyer	2
B4093	buyer	2
B4094	buyer	2
B4095	buyer	1
B4096	buyer	1
B4097	buyer	2
B4098	buyer	1
B4099	buyer	5
B4100	buyer	4
B4101	buyer	23
B4102	buyer	1
B4103	buyer	1
B4104	buyer	10
B4105	buyer	5
B4106	buyer	7
B4107	buyer	16
B4108	buyer	3
B4109	buyer	3
B4110	buyer	1
B4111	buyer	2
B4112	buyer	2
B4113	buyer	1
B4114	buyer	4
B4115	buyer	3
B4116	buyer	2
B4117	buyer	2
B4118	buyer	1
B4119	buyer	1
B4120	buyer	5
B4121	buyer	2
B4122	buyer	1
B4123	buyer	8
B4124	buyer	3
B4125	buyer	6
B4126	buyer	5
B4127	buyer	1
B4128	buyer	2
B4129	buyer	8
B413	buyer	1
B4130	buyer	2
B4132	buyer	6
B4133	buyer	6
B4134	buyer	1
B4135	buyer	2
B4136	buyer	1
B4137	buyer	6
B4138	buyer	3
B4139	buyer	2
B414	buyer	2
B4140	buyer	2
B4141	buyer	3
B4142	buyer	2
B4143	buyer	2
B4144	buyer	1
B4145	buyer	3
B4146	buyer	3
B4147	buyer	1
B4148	buyer	2
B4149	buyer	2
B4150	buyer	3
B4151	buyer	5
B4152	buyer	1
B4153	buyer	1
B4154	buyer	9
B4155	buyer	11
B4157	buyer	3
B4158	buyer	2
B4159	buyer	3
B4160	buyer	5
B4161	buyer	11
B4162	buyer	1
B4163	buyer	1
B4164	buyer	2
B4165	buyer	1
B4166	buyer	1
B4167	buyer	5
B4168	buyer	2
B4169	buyer	1
B4170	buyer	5
B4171	buyer	14
B4172	buyer	3
B4173	buyer	2
B4174	buyer	5
B4175	buyer	1
B4176	buyer	1
B4177	buyer	1
B4178	buyer	2
B4179	buyer	3
B4180	buyer	3
B4181	buyer	2
B4182	buyer	2
B4183	buyer	14
B4184	buyer	2
B4185	buyer	4
B4186	buyer	4
B4187	buyer	1
B4189	buyer	2
B419	buyer	3
B4191	buyer	10
B4192	buyer	3
B4193	buyer	1
B4194	buyer	1
B4195	buyer	6
B4196	buyer	1
B4197	buyer	2
B4198	buyer	2
B4199	buyer	1
B420	buyer	8
B4200	buyer	4
B4202	buyer	1
B4203	buyer	7
B4204	buyer	1
B4205	buyer	24
B4206	buyer	1
B4207	buyer	2
B4208	buyer	2
B4209	buyer	2
B4210	buyer	1
B4211	buyer	1
